ScenarioID,DroneID,Frame,Time,X,Y,Z,Vel,VelX,VelY,VelZ,AngVelX,AngVelY,AngVelZ,Roll,Pitch,Yaw,Role,Intent,Target,IsObserver,TimeStr
A-DEN,Drone1,1,0.266,5.978,29.503,-15.123,1.476,-1.100,-0.934,-0.309,-0.250113,0.035903,2.359638,-0.020171,0.191369,2.666010,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.241Z
A-DEN,Drone2,1,0.266,-12.417,-11.868,-16.470,3.183,3.141,-0.515,0.002,0.000666,0.000014,-0.006382,-0.006715,-0.002625,-0.168919,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.257Z
A-DEN,Drone3,1,0.266,29.189,14.199,-17.444,3.524,-2.566,2.415,-0.033,-0.004388,0.018250,-0.144635,-0.019456,-0.039966,2.324650,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.333Z
A-DEN,Drone4,1,0.266,20.545,27.642,-17.936,1.891,0.131,1.850,-0.369,1.272848,0.407658,0.454013,0.246664,0.157185,1.550563,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.341Z
A-DEN,Drone5,1,0.266,17.634,16.664,-19.436,3.126,-2.100,2.316,0.003,-0.000580,0.000048,-0.014085,-0.006519,-0.004143,2.297034,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.351Z
A-DEN,Drone6,1,0.266,18.247,33.901,-20.609,1.438,1.094,0.550,-0.755,-0.115092,-0.259433,1.629383,0.398493,0.161628,0.860157,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.459Z
A-DEN,Drone7,1,0.266,26.982,-0.302,-16.225,2.139,1.089,-0.031,-1.841,0.000001,-0.000001,0.000011,-0.000783,-0.000000,-0.028094,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.471Z
A-DEN,Drone8,1,0.266,2.448,-18.580,-22.264,2.429,-0.980,2.222,0.010,-0.004052,0.007658,0.083250,-0.009313,0.007343,1.999658,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.475Z
A-DEN,Drone9,1,0.266,-36.174,33.511,-22.787,2.449,-1.508,1.360,-1.369,-0.000032,0.902989,0.000596,0.087409,0.000066,2.407984,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.520Z
A-DEN,Drone10,1,0.266,14.959,10.987,-24.080,2.017,2.005,0.222,0.003,0.005137,0.000078,0.023046,-0.002738,0.000816,0.113446,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.559Z
A-DEN,Drone11,1,0.266,26.774,15.394,-19.595,2.314,1.071,0.611,-1.959,0.000013,0.000030,0.000035,-0.001017,-0.000013,0.517983,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.620Z
A-DEN,Drone12,1,0.266,-20.188,7.841,-26.242,2.000,-1.250,1.561,0.003,-0.002066,0.000010,-0.007707,-0.002621,0.000037,2.245932,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.696Z
A-DEN,Drone1,2,0.962,5.268,28.822,-15.209,2.106,-1.470,-1.506,-0.061,-0.035056,0.127289,1.892068,-0.088085,0.013393,-2.321227,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.962Z
A-DEN,Drone2,2,0.962,-10.703,-12.153,-16.469,3.182,3.139,-0.527,0.003,0.002055,0.000016,-0.000557,-0.006711,-0.001812,-0.170752,EGO,Patrolling,N/A,0,2025-06-20T11:31:04.983Z
A-DEN,Drone3,2,0.962,27.835,15.550,-17.458,3.556,-2.448,2.579,-0.018,0.024780,0.009677,-0.049993,-0.014958,-0.032214,2.253083,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.122Z
A-DEN,Drone4,2,0.962,20.097,28.206,-18.404,1.780,-1.534,0.143,-0.891,-0.332319,0.057192,2.234650,-0.023555,0.289658,2.453202,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.205Z
A-DEN,Drone5,2,0.962,16.280,18.170,-19.434,3.126,-2.081,2.332,0.003,0.002928,0.000042,-0.002611,-0.006510,-0.003176,2.291689,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.212Z
A-DEN,Drone6,2,0.962,18.277,33.919,-21.080,0.641,-0.571,-0.272,-0.104,-0.295788,0.019323,2.415389,-0.025569,0.219688,2.119384,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.273Z
A-DEN,Drone7,2,0.962,27.652,-0.321,-17.357,2.139,1.089,-0.031,-1.841,0.000001,0.000004,0.000007,-0.000781,0.000000,-0.028088,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.361Z
A-DEN,Drone8,2,0.962,1.807,-17.157,-22.259,2.451,-1.021,2.228,0.007,-0.006863,0.003084,-0.027009,-0.006193,0.003420,2.014860,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.384Z
A-DEN,Drone9,2,0.962,-36.731,34.087,-23.198,1.038,0.527,-0.107,-0.888,0.226895,-0.287150,-1.868324,0.342750,-0.259386,1.852073,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.457Z
A-DEN,Drone10,2,0.962,16.325,11.142,-24.078,2.017,2.004,0.235,0.003,0.000508,0.000051,0.014747,-0.002725,0.002662,0.127182,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.486Z
A-DEN,Drone11,2,0.962,27.510,15.814,-20.941,2.314,1.071,0.611,-1.959,0.000005,0.000014,-0.000023,-0.001001,-0.000006,0.518051,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.550Z
A-DEN,Drone12,2,0.962,-20.990,8.844,-26.240,2.000,-1.247,1.563,0.003,-0.000665,0.000005,-0.006556,-0.002619,-0.000841,2.241062,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.563Z
A-DEN,Drone1,3,1.883,4.222,27.730,-15.203,2.450,-1.696,-1.768,-0.032,-0.027220,0.048531,-0.834882,-0.035203,-0.007749,-2.310871,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.881Z
A-DEN,Drone2,3,1.883,-8.529,-12.521,-16.467,3.182,3.137,-0.534,0.003,0.001940,0.000006,0.003589,-0.006703,-0.000336,-0.169445,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.922Z
A-DEN,Drone3,3,1.883,26.242,17.312,-17.464,3.575,-2.351,2.693,-0.004,0.031989,0.003451,0.039613,-0.010590,-0.012020,2.265193,EGO,Patrolling,N/A,0,2025-06-20T11:31:05.994Z
A-DEN,Drone4,3,1.883,18.869,28.039,-18.470,2.322,-2.227,-0.627,0.201,-0.007296,0.201846,0.879536,-0.124842,0.027803,-2.496194,EGO,Patrolling,N/A,0,2025-06-20T11:31:06.091Z
A-DEN,Drone5,3,1.883,14.910,19.713,-19.433,3.126,-2.071,2.341,0.003,0.003293,0.000018,0.004931,-0.006489,-0.000981,2.292790,EGO,Patrolling,N/A,0,2025-06-20T11:31:06.134Z
