ScenarioID,DroneID,Frame,Time,X,Y,Z,Vel,VelX,VelY,VelZ,AngVelX,AngVelY,AngVelZ,Roll,Pitch,Yaw,Role,Intent,Target,IsObserver,TimeStr
B-DEN,Drone1,1,0.234,-12.735,11.271,-15.390,2.875,-1.776,2.261,0.003,-0.000035,-0.000000,-0.000124,-0.005477,-0.000012,2.236403,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.499Z
B-DEN,Drone2,1,0.234,23.798,0.818,-16.238,2.281,-2.238,-0.439,0.002,0.000261,0.000113,-0.003694,-0.003814,-0.000991,-2.951610,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.505Z
B-DEN,Drone3,1,0.234,-18.139,-20.928,-17.240,3.698,-0.466,-3.669,0.002,-0.002254,0.000018,-0.008178,-0.009270,-0.001375,-1.699947,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.529Z
B-DEN,Drone4,1,0.234,5.662,-6.384,-18.389,2.843,-2.018,-2.003,0.003,-0.000099,-0.000002,-0.001504,-0.005405,-0.000369,-2.360932,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.536Z
B-DEN,Drone5,1,0.234,28.688,30.424,-15.451,2.079,1.085,1.151,-1.350,-0.000030,-0.000009,0.000102,-0.001654,0.000014,0.814802,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.540Z
B-DEN,Drone6,1,0.234,20.546,7.982,-20.674,2.478,-2.355,0.757,-0.149,-0.053695,0.091826,-0.872461,-0.056977,0.001377,3.007215,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.545Z
B-DEN,Drone7,1,0.234,-13.035,-16.488,-21.414,3.123,1.632,2.662,0.003,0.000418,0.000031,0.000949,-0.006561,-0.000022,1.020898,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.622Z
B-DEN,Drone8,1,0.234,-15.742,26.615,-21.895,0.890,-0.419,-0.697,-0.362,-0.213851,-0.043641,2.116581,0.062292,0.207699,2.809425,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.766Z
B-DEN,Drone9,1,0.234,19.585,-10.290,-22.913,2.081,0.919,-1.868,0.003,-0.002565,0.000014,-0.007750,-0.002863,0.000368,-1.112272,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.773Z
B-DEN,Drone10,1,0.234,24.914,-22.927,-23.848,0.477,-0.166,0.055,-0.444,0.087725,-0.166674,-1.760293,0.225409,-0.117126,-1.159225,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.783Z
B-DEN,Drone11,1,0.234,-13.017,9.172,-25.354,3.050,-2.274,2.033,0.003,0.000064,0.000003,0.000174,-0.006133,0.000008,2.412239,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.807Z
B-DEN,Drone12,1,0.234,-7.313,-3.255,-26.394,3.029,2.103,2.181,0.003,0.000736,0.000094,0.000193,-0.006203,-0.000568,0.802260,EGO,Patrolling,N/A,0,2025-06-20T19:50:49.915Z
